"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LFTS_01573",62.2363684147319,0.0325934757911709,0.325875640500885,0.100018141095398,0.920329923150942,0.961295297580542
"LFTS_01574",535.230969260491,0.0807519785362331,0.185009960906264,0.436473680339548,0.662493091131911,0.808202567328025
"LFTS_01575",2143.87065572336,0.156902245633335,0.18253477311748,0.859574550939683,0.390023608454661,0.603237844167521
"LFTS_01576",850.554932669272,-0.345747687443057,0.166308298170552,-2.07895631935628,0.0376213654694352,0.116473988003569
"LFTS_01577",1114.36805795991,0.0440931868331485,0.174170396311752,0.253161201713206,0.800143646635022,0.892272606855011
"LFTS_01578",1884.62449933264,0.653461204315698,0.162855781264089,4.01251462639842,6.00753554496897e-05,0.000564066314527621
"LFTS_01579",5536.5396919385,0.275766093722941,0.194846694562517,1.41529777727105,0.156981206440144,0.331695010761373
"LFTS_01580",3419.32877805229,0.207891114207444,0.148467209909131,1.4002493502416,0.16143866234048,0.338855895356298
"LFTS_01581",2483.56358479744,0.423852195014592,0.172213986248939,2.46119496009984,0.0138475095578341,0.0550321058356572
"LFTS_01582",4476.89091472606,0.278198525083811,0.178282889666535,1.56043311617935,0.11865756409013,0.275115558587861
"LFTS_01583",9425.54143963555,0.0870787599840275,0.181988946321938,0.478483785657978,0.632305912073081,0.793608440663153
"LFTS_01584",1927.34263832985,0.491645225907099,0.153165707222031,3.20989100513475,0.00132785312517386,0.00808544229685073
"LFTS_01585",1100.15618698186,0.264094984299545,0.204267002732406,1.2928910727961,0.196048735517538,0.39111974645268
"LFTS_01586",686.062826488896,0.424219309145688,0.18745001717083,2.26310626986543,0.023629139152086,0.0823338276404131
"LFTS_01587",103.39904386901,1.0712913992707,0.309378124169297,3.46272511072718,0.000534734398004057,0.00372647767447586
"LFTS_01588",2123.58788905133,0.765642730294773,0.19168133774868,3.99435197650088,6.48714341689296e-05,0.000597691865376655
"LFTS_01589",1484.64151243921,0.566820079395256,0.209701951009573,2.70297952244317,0.00687209799413669,0.0315988057300491
"LFTS_01590",1606.16938210206,0.446516220874656,0.195350463458722,2.28571876907272,0.022270716502479,0.0780426817608239
"LFTS_01591",280.947188271972,0.467590037324232,0.207129583047394,2.2574758778771,0.023978355119662,0.0832057405750483
"LFTS_01592",149.374920485798,0.0268534361266425,0.266155092102511,0.100893940876772,0.919634653044539,0.961295297580542
"LFTS_01593",377.715072224879,0.816053858400693,0.222367607690742,3.66984142553541,0.000242700978523207,0.00190141530944933
"LFTS_01594",33.0527782210437,0.0626379858501481,0.544562020222628,0.115024521586247,0.90842568562608,0.955011618222289
"LFTS_01595",423.10958766475,0.238412025441931,0.183408247479508,1.29989806193731,0.193635909450801,0.386957219536126
"LFTS_01596",448.271109106425,0.169081402220266,0.206023446165298,0.82069009798335,0.411822812459867,0.624204632563939
"LFTS_01597",616.612536995574,0.370922917460793,0.179929786545516,2.06148700880586,0.0392566016013725,0.120413017380769
"LFTS_01598",208.393899125447,0.803500689888667,0.22923959085826,3.50506946413752,0.000456488162192189,0.00324555167338955
"LFTS_01599",342.813546753721,0.0421907428320702,0.200633315766661,0.210287821196847,0.833443040058445,0.907764060356146
"LFTS_01600",1073.73729942681,0.248592873469114,0.189165807625039,1.31415331655428,0.188794614908879,0.38095728155412
"LFTS_01601",16.0398286652817,0.836184541021266,0.598931780403348,1.39612651787845,0.16267639965718,0.341162781889738
"LFTS_01602",861.156079611022,-0.442011461355977,0.161388151626399,-2.73880986244392,0.00616620231659415,0.0289482017153084
"LFTS_01603",343.198364892162,0.117854477475146,0.243457383747677,0.484086683512925,0.62832435151765,0.790995761946967
"LFTS_01604",323.615351266024,-0.054418070646762,0.217476734120301,-0.250224792398527,0.802413513413447,0.893560864400132
"LFTS_01605",909.562201625471,0.0625627182343636,0.256363145076812,0.24403943950531,0.807200274832184,0.896079727476161
"LFTS_01606",1069.02638468939,0.172499756949165,0.195389417495535,0.882851073309062,0.377316741481827,0.59024522352772
"LFTS_01607",80.0051047440451,-0.526525531183617,0.303648368888027,-1.73399756142862,0.0829185158491558,0.210505210514885
"LFTS_01608",71.6519375992316,-0.189181716959865,0.334326979075218,-0.565858362622007,0.571490068241739,0.754976010889529
"LFTS_01609",213.774045402281,-0.500974035579671,0.218784777763664,-2.28980297761316,0.0220327404796973,0.0774293451143647
"LFTS_01610",1210.70436292921,-0.212547641693171,0.163247530940546,-1.30199605757333,0.192917733312379,0.385835466624759
"LFTS_01611",1099.40788494487,0.111547353391016,0.159196458729235,0.700689916606363,0.483496550155219,0.686325166406139
"LFTS_01612",255.143171017778,-0.96209788850053,0.209434396239596,-4.59379120992081,4.35264889832832e-06,5.69548738823813e-05
"LFTS_01613",692.599460787325,-0.125555460522617,0.185407985708424,-0.677184750391865,0.498288742012037,0.695917168562937
"LFTS_01614",2507.91954217718,0.0794345907592254,0.17431709738259,0.455690187319277,0.648612779244907,0.804540579855778
"LFTS_01615",1687.76668303059,-0.0321976596154545,0.173838755988884,-0.185215658224759,0.853059888083788,0.921214804515417
"LFTS_01616",356.984463745158,-0.302910253045659,0.190919468434244,-1.58658650964129,0.112606324786155,0.26559113995584
"LFTS_01618",65.8684000186832,-0.655977820708378,0.366533388160166,-1.78968094557796,0.073505217304257,0.193186789068881
"LFTS_01619",620.995225476221,-0.229477176399297,0.181621278224742,-1.26349279468971,0.206412134429015,0.402356458554182
"LFTS_01620",122.347406279695,-2.70878065318592,0.333113190771463,-8.13171236753672,4.2326819722362e-16,2.00238416378867e-14
"LFTS_01621",139.832072305116,-3.38243192183588,0.336221000894455,-10.0601447049338,8.2876441619559e-24,5.99635430541515e-22
"LFTS_01622",126.146309606138,-4.01133356165312,0.390339266138162,-10.2765309812139,8.99054974045564e-25,7.13443624565189e-23
"LFTS_01623",864.79888540486,0.248896311970914,0.186622258823444,1.33369038366632,0.182305347624666,0.371558537826577
"LFTS_01624",96.4394049874436,-1.31909222589363,0.297436662244841,-4.43486763177765,9.21288780426589e-06,0.000111096588227912
"LFTS_01625",98.3350522840474,-0.622406519337829,0.351021681543104,-1.77312841930934,0.0762074297776816,0.198381245770473
"LFTS_01626",204.008928390639,-1.02244708183937,0.246288369270669,-4.15142251689403,3.30415129991288e-05,0.000341521520915365
"LFTS_01627",8.87383294721915,-2.03263488703941,0.92092587039764,-2.20716449866019,0.0273025690210135,0.0916264540049372
"LFTS_01628",8.42776667203136,0.396267310439977,0.873683125550308,0.453559533029071,0.650145885219823,0.804540579855778
"LFTS_01629",14.4511500664532,-1.91506520706008,0.736713822499721,-2.59946962928173,0.00933679400369474,0.0406522358390957
"LFTS_01630",417.569611288716,-1.17370942427481,0.197069449529605,-5.95581622152192,2.58777002435609e-09,5.73505789181621e-08
"LFTS_01631",497.156561180492,-1.37588024471233,0.256840800588632,-5.35693800034521,8.4644149389244e-08,1.57745914770864e-06
"LFTS_01632",44.7560539456962,-0.711564906848641,0.391431192138762,-1.81785437936278,0.0690863926130134,0.185456962634698
"LFTS_01633",0.891507501768908,-0.535660066716849,2.41218595487203,-0.222064167828747,0.824263931383559,NA
"LFTS_01634",11.4739218527131,-0.215364816898811,0.727094187190336,-0.296199337985402,0.767077854378821,0.876864090042704
